#City,Lon (deg),Lat (deg),codigoestacion,lat,lon
LETICIA,-69.942,-4.192,48015010,-4.194,-69.941
CALI,-76.382,3.543,26085170,3.4545,-76.49972
RIONEGRO,-75.423,6.164,23085270,6.169,-75.426
BOGOTA,-74.147,4.702,21205791,4.706,-74.151
BARRANQUILLA,-74.781,10.889,26004520,11.00638889,-74.785
PEREIRA,-75.739,4.812,,4.812,-75.739
BUCARAMANGA,-73.184,7.126,,7.126,-73.184
CUCUTA,-72.511,7.927,,7.927,-72.511
ARMENIA,-75.766,4.451,,4.451,-75.766
MONTERIA,-75.825,8.822,,8.822,-75.825
NEIVA,-75.294,2.95,,2.95,-75.294
VALLEDUPAR,-73.249,10.435,,10.435,-73.249
PASTO,-77.291,1.396,,1.396,-77.291
VILLAVICENCIO,-73.614,4.168,,4.168,-73.614
IBAGUE,-75.133,4.421,,4.421,-75.133
BARRANCABERMEJA,-73.806,7.024,,7.024,-73.806
IPIALES,-77.667,0.861,,0.861,-77.667
