i;CodigoEstacion;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud
1;26125061;APTO EL EDEN;quindio;armenia;cauca;4.455;-75.766
3;23195502;APTO PALONEGRO;santander;lebrija;medio magdalena;7.121;-73.185
4;21205791;APTO EL DORADO - TX GPRS;bogota;bogota;alto magdalena;4.706;-74.151
12;52055230;AEROPUERTO SAN LUIS - AUT;narino;aldana;patia;0.857;-77.678
15;27015330;APTO OLAYA HERRERA - TX GPRS;antioquia;medellin;nechi;6.221;-75.589
16;13035501;APTO LOS GARZONES;cordoba;monteria;sinu;8.826;-75.825
17;42077020;MITU;vaupes;mitu;vaupes;1.26;-70.239
20;26125710;APTO MATECAÑA TX GPS/GOES;risaralda;pereira;cauca;4.813;-75.74
23;17025020;AEROPUERTO EL EMBRUJO;san andres;san andres y  providencia (santa isabel);islas caribe;13.36;-81.358
24;23085270;APTO J.M CORDOVA TX GPRS;antioquia;rionegro;medio magdalena;6.169;-75.426
25;15065180;APTO ALMIRANTE PADILLA TX GPRS;la guajira;riohacha;caribe - guajira;11.53;-72.918
29;3706500109;ARAUCA TERMINAL - AUT;arauca;arauca;arauca;7.063780556;-70.733080556
30;11045010;PR CHOCO: APTO EL CARANO;choco;quibdo;atrato - darien;5.691;-76.644
31;28025502;APTO ALFONSO LOPEZ;cesar;valledupar;cesar;10.436;-73.248
39;53045040;AEROPUERTO GUAPI - AUT;cauca;guapi;tapaje - dagua - directos;2.574416667;-77.89475
46;35215020;APTO YOPAL;casanare;yopal;meta;5.32;-72.388
