Codigo;p;t;pa
52057100;1.0;0.0;0.0
52055170;1.0;1.0;0.0
52055220;1.0;1.0;1.0
44015070;1.0;1.0;0.0
48015040;1.0;1.0;1.0
44135020;0.0;0.0;0.0
44135030;0.0;0.0;0.0
52055150;1.0;1.0;1.0
44037040;1.0;0.0;0.0
52077020;0.0;0.0;0.0
51039010;1.0;0.0;0.0
21017050;0.0;0.0;0.0
51025060;1.0;1.0;1.0
51025090;1.0;1.0;1.0
52077010;1.0;0.0;0.0
51027060;1.0;0.0;0.0
44037060;0.0;0.0;0.0
51020011;1.0;0.0;0.0
44015060;1.0;1.0;1.0
52055210;1.0;1.0;1.0
51025070;0.0;0.0;0.0
26015030;1.0;1.0;1.0
52035040;1.0;1.0;0.0
26015010;1.0;1.0;1.0
21017020;0.0;0.0;0.0
21015050;1.0;1.0;1.0
21015040;1.0;1.0;0.0
52015050;1.0;1.0;0.0
52025090;1.0;1.0;0.0
21015060;1.0;1.0;0.0
46015030;1.0;1.0;1.0
21047010;1.0;0.0;0.0
53075020;1.0;1.0;1.0
26035090;0.0;1.0;0.0
21057100;0.0;0.0;0.0
52045080;1.0;1.0;1.0
21115170;1.0;1.0;0.0
21097070;1.0;0.0;0.0
57025020;1.0;1.0;1.0
22025040;0.0;1.0;1.0
53077010;0.0;0.0;0.0
21117100;0.0;0.0;0.0
48017050;0.0;0.0;0.0
25027980;0.0;0.0;0.0
25027640;0.0;0.0;0.0
25020030;0.0;0.0;0.0
25028210;0.0;0.0;0.0
25027400;0.0;0.0;0.0
25028220;0.0;0.0;0.0
25028230;0.0;0.0;0.0
25027390;0.0;0.0;0.0
25028240;0.0;0.0;0.0
25027990;0.0;0.0;0.0
25028410;0.0;0.0;0.0
25020410;0.0;0.0;0.0
25027280;0.0;0.0;0.0
25028350;0.0;0.0;0.0
13090030;0.0;0.0;0.0
25027880;0.0;0.0;0.0
25025230;0.0;0.0;0.0
25020450;0.0;0.0;0.0
48017010;0.0;0.0;0.0
25020800;0.0;0.0;0.0
24035380;0.0;1.0;1.0
24037001;0.0;0.0;0.0
21057030;1.0;0.0;0.0
21055070;1.0;1.0;0.0
53045040;1.0;1.0;1.0
21087080;1.0;0.0;0.0
21115180;1.0;1.0;1.0
26075120;1.0;1.0;0.0
26055100;1.0;1.0;1.0
26055110;1.0;1.0;1.0
26135320;1.0;1.0;0.0
26055120;1.0;1.0;1.0
26085160;1.0;1.0;0.0
54077210;1.0;1.0;1.0
21185090;1.0;1.0;0.0
21195170;1.0;1.0;1.0
21167090;1.0;0.0;0.0
22075050;1.0;1.0;1.0
35017020;1.0;0.0;0.0
21167080;1.0;0.0;0.0
26095320;1.0;1.0;1.0
21137010;1.0;0.0;0.0
21137050;1.0;0.0;0.0
26085170;1.0;1.0;1.0
26105240;1.0;1.0;0.0
21215190;1.0;1.0;0.0
21217180;1.0;0.0;0.0
23125170;1.0;1.0;0.0
21195190;1.0;1.0;1.0
21206920;1.0;1.0;0.0
21237010;1.0;0.0;0.0
31095030;1.0;1.0;1.0
21195160;1.0;1.0;0.0
22057010;1.0;0.0;0.0
53119010;1.0;0.0;0.0
21235030;1.0;1.0;1.0
21215160;1.0;1.0;0.0
21215170;1.0;1.0;0.0
26127010;1.0;0.0;0.0
