;Codigo;lat;lon;municipio;departamento;fecha_picomax
0;21205509;4.397;-74.628;BOGOTA, D.C;BOGOTA;2022-01-15 09:40:00
1;21237060;4.633;-74.65;PULÍ;CUNDINAMARCA;2022-01-15 09:40:00
2;23065160;5.017;-74.333;LA VEGA;CUNDINAMARCA;2022-01-15 09:40:00
3;21205519;4.452;-74.272;SIBATÉ;CUNDINAMARCA;2022-01-15 09:40:00
4;21205524;5.075;-74.057;ZIPAQUIRÁ;CUNDINAMARCA;2022-01-15 09:40:00
5;21205521;4.738;-73.936;LA CALERA;CUNDINAMARCA;2022-01-15 09:40:00
6;35025502;4.56;-74;BOGOTA, D.C;BOGOTA;2022-01-15 09:40:00
7;21205513;4.505;-74.184;FUNZA;CUNDINAMARCA;2022-01-15 09:40:00
8;24015508;4.308;-74.282;PASCA;CUNDINAMARCA;2022-01-15 09:40:00
9;21205526;4.691;-74.389;TENA;CUNDINAMARCA;2022-01-15 09:40:00
10;21205516;5.173;-73.852;PACHO;CUNDINAMARCA;2022-01-15 09:40:00
12;24015507;5.392;-73.854;SIMIJACA;CUNDINAMARCA;2022-01-15 09:40:00
13;21205518;5.171;-74.016;TAUSA;CUNDINAMARCA;2022-01-15 09:40:00
14;21205517;4.788;-74.05;SOPÓ;CUNDINAMARCA;2022-01-15 09:40:00
15;35075090;5.083;-73.65;MACHETÁ;CUNDINAMARCA;2022-01-15 09:40:00
16;21205512;4.469;-74.079;BOGOTA, D.C;BOGOTA;2022-01-15 09:40:00
17;21205515;4.7;-74.174;SOACHA;CUNDINAMARCA;2022-01-15 09:40:00
18;21205480;5.033;-73.717;CHOCONTÁ;CUNDINAMARCA;2022-01-15 09:40:00
20;21205525;5.229;-73.585;VILLAPINZÓN;CUNDINAMARCA;2022-01-15 09:40:00
21;;6.10615413452264;-75.387836792051;ANTIOQUIA;ORIENTE;2022-01-15 09:30:00
22;;8.09431485611454;-76.7338430092313;ANTIOQUIA;TURBO;2022-01-15 09:21:00
