,CodigoEstacion,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud
0,23065160,ACOMODO EL,CUNDINAMARCA,LA VEGA,MEDIO MAGDALENA,5.017,-74.333
0,21205513,LA RAMADA  - AUT,CUNDINAMARCA,FUNZA,ALTO MAGDALENA,4.505,-74.184
0,21205524,VETA LARGA  - AUT,CUNDINAMARCA,ZIPAQUIRÁ,ALTO MAGDALENA,5.075,-74.057
0,35075090,MACHETA - CHIVOR,CUNDINAMARCA,MACHETÁ,META,5.083,-73.65
0,21205511,EL OKAL  - AUT,CUNDINAMARCA,VILLAGÓMEZ,ALTO MAGDALENA,5.001,-73.733
0,21205526,PEDRO PALO  - AUT,CUNDINAMARCA,TENA,ALTO MAGDALENA,4.691,-74.389
0,21205512,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079
0,21205519,SAN FORTUNATO  - AUT,CUNDINAMARCA,SIBATÉ,ALTO MAGDALENA,4.452,-74.272
0,21205516,NEGRETE  - AUT,CUNDINAMARCA,PACHO,ALTO MAGDALENA,5.173,-73.852
0,24015508,HACIENDA LA MESA  - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.308,-74.282
0,21205517,PARQUE SOPO  - AUT,CUNDINAMARCA,SOPÓ,ALTO MAGDALENA,4.788,-74.05
0,21205515,MERENGO  - AUT,CUNDINAMARCA,SOACHA,ALTO MAGDALENA,4.7,-74.174
0,21237060,CORRALITOS PULI,CUNDINAMARCA,PULÍ,ALTO MAGDALENA,4.633,-74.65
0,21205518,SALITRE  - AUT,CUNDINAMARCA,TAUSA,ALTO MAGDALENA,5.171,-74.016
0,21205525,VILLA PINZON  - AUT,CUNDINAMARCA,VILLAPINZÓN,ALTO MAGDALENA,5.229,-73.585
0,21205509,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628
0,21205521,SANTA HELENA  - AUT,CUNDINAMARCA,LA CALERA,ALTO MAGDALENA,4.738,-73.936
0,35025502,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74.0
0,21205480,IBERIA LA,CUNDINAMARCA,CHOCONTÁ,ALTO MAGDALENA,5.033,-73.717
0,24015507,OJO DE AGUA  - AUT,CUNDINAMARCA,SIMIJACA,SOGAMOSO,5.392,-73.854
0,21205522,TABIO  - AUT,CUNDINAMARCA,TABIO,ALTO MAGDALENA,4.918,-74.029
