,CodigoEstacion,Longitud,Latitud,Departamento,Municipio
0,36015020,-71.41983333,5.816194444,CASANARE,PAZ DE ARIPORO
1,21195190,-74.31175,4.310111111,CUNDINAMARCA,PASCA
2,21015050,-76.42755556,1.925916667,HUILA,SAN AGUSTÍN
3,21115010,-75.168,3.234,HUILA,VILLAVIEJA
4,28035060,-73.24805556,10.46361111,CESAR,VALLEDUPAR
5,25025360,-73.97083333,9.046333333,MAGDALENA,EL BANCO
6,25025380,-75.045,9.164,SUCRE,SAN BENITO ABAD
7,24035430,-73.11636111,5.745916667,BOYACÁ,PAIPA
8,21215150,-75.32777778,4.670777778,TOLIMA,ANZOÁTEGUI
9,54077210,-77.34900556,3.925147222,VALLE DEL CAUCA,BUENAVENTURA
10,27015300,-75.55,6.253,ANTIOQUIA,MEDELLÍN
11,26055110,-76.56930556,3.185361111,VALLE DEL CAUCA,JAMUNDÍ
12,21235030,-74.80811111,4.305333333,CUNDINAMARCA,GIRARDOT
13,48015050,-69.94091667,-4.193861111,AMAZONAS,LETICIA
14,16040050,-73.21166667,7.934444444,NORTE DE SANTANDER,ÁBREGO
15,21206960,-74.06666667,4.6,BOGOTA,"BOGOTA, D.C"
16,21015070,-76.106841,1.675833,HUILA,PALESTINA
17,53075020,-77.25877778,2.311416667,CAUCA,ARGELIA
18,26125710,-75.74,4.813,RISARALDA,PEREIRA
19,25025350,-75.3875,9.316388889,SUCRE,SINCELEJO
20,13085030,-75.94930556,9.370777778,CORDOBA,SAN BERNARDO DEL VIENTO
21,26135300,-75.74491667,4.761916667,RISARALDA,PEREIRA
22,11159010,-77.331,8.616,CHOCÓ,ACANDÍ
23,22075050,-75.70083333,4.075805556,TOLIMA,RONCESVALLES
24,21205513,-74.184,4.505,CUNDINAMARCA,FUNZA
25,26155240,-75.38241667,4.859444444,CALDAS,VILLAMARIA
26,24035370,-72.45266667,6.506722222,BOYACÁ,EL ESPINO
27,13055040,-75.91388889,8.746944444,CORDOBA,MONTERÍA
28,52055210,-77.27880556,1.16,NARIÑO,PASTO
29,52055220,-77.63688889,1.070611111,NARIÑO,TÚQUERRES
30,35215020,-72.388,5.32,CASANARE,YOPAL
31,21205506,-74.153,5.025,CUNDINAMARCA,SUBACHOQUE
32,28025120,-73.04619444,10.02908333,CESAR,AGUSTÍN CODAZZI
33,23195200,-72.99111111,7.473888889,SANTANDER,SURATÁ
34,23085270,-75.426,6.169,ANTIOQUIA,RIONEGRO
35,21205505,-73.918,4.97,CUNDINAMARCA,TOCANCIPÁ
36,21205527,-73.805,5.198,CUNDINAMARCA,CUCUNUBÁ
37,23065506,-74.405,4.861,CUNDINAMARCA,FACATATIVÁ
38,26125290,-75.69069444,4.531583333,QUINDÍO,ARMENIA
39,21206990,-74.209,4.691416667,CUNDINAMARCA,MOSQUERA
40,21205514,-74.079,4.469,CUNDINAMARCA,EL ROSAL
41,21195170,-74.39805556,3.993611111,CUNDINAMARCA,CABRERA
42,52055150,-77.38880556,0.843111111,NARIÑO,PUERRES
43,53045040,-77.89475,2.574416667,CAUCA,GUAPI
44,22025040,-76.064,2.978,CAUCA,PÁEZ (BELALCÁZAR)
45,44015060,-76.65183333,1.157333333,PUTUMAYO,MOCOA
46,24015508,-74.282,4.308,CUNDINAMARCA,PASCA
47,21206940,-74.177,4.577,BOGOTA D.C.,"BOGOTA, D.C"
