,Codigo,Departamento,Municipio,Longitud,Latitud,fecha_max,presion_max,entidad,distancia_volcan(km),tiempo_llegada(horas),velocidad(m/s)
21,59.0,Antioquia,Medellin,-75.55897,6.21394,2022-01-15 09:31:00,834.9,SIATA,11282.035190440403,10.483333333333333,298.94104903127726
23,73.0,Antioquia,Copacabana,-75.50471999999998,6.34534,2022-01-15 09:31:00,858.4,SIATA,11292.63085579782,10.483333333333333,299.2218032802814
27,197.0,Antioquia,Medellin,-75.60996999999998,6.23024,2022-01-15 09:31:00,847.929993,SIATA,11277.338435591766,10.483333333333333,298.8165987173229
32,207.0,Antioquia,Guarne,-75.49396999999998,6.28328,2022-01-15 09:31:00,770.1,SIATA,11291.414848769793,10.483333333333333,299.18958263830933
33,249.0,Antioquia,Medellin,-75.63624,6.21959,2022-01-15 09:31:00,824.159973,SIATA,11274.201702422319,10.483333333333333,298.7334844309041
37,345.0,Antioquia,Medellin,-75.55391999999998,6.29552,2022-01-15 09:31:00,848.8599849999998,SIATA,11285.633034394563,10.483333333333333,299.0363814095009
41,368.0,Antioquia,Medellin,-75.54926999999998,6.2972199999999985,2022-01-15 09:31:00,839.01001,SIATA,11286.181219539983,10.483333333333333,299.0509067180705
46,448.0,Antioquia,Medellin,-75.57523,6.297619999999998,2022-01-15 09:31:00,841.400024,SIATA,11283.493124464258,10.483333333333333,298.9796800334991
47,478.0,Antioquia,Medellin,-75.57356,6.2688,2022-01-15 09:31:00,857.2800289999999,SIATA,11282.582015044844,10.483333333333333,298.95553828947664
48,542.0,Antioquia,Medellin,-75.5276,6.1935,2022-01-15 09:31:00,730.049988,SIATA,11284.531879455546,10.483333333333333,299.0072040131305
