CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
25025380;SAN BENITO ABAD - LA MOJANA TX GPRS/GOES;san benito abad;sucre;bajo magdalena- cauca -san jorge
24035430;TUNGUAVITA - AUT;paipa;boyaca;sogamoso
24015501;BERTHA  - AUT;moniquira;boyaca;sogamoso
23195090;VIVERO SURATA  - AUT;surata;santander;medio magdalena
26115090;LAS BRISAS - AUT;ansermanuevo;valle del cauca;san juan
21205910;LA COSECHA - AUT;zipaquira;cundinamarca;alto magdalena
24055501;CHUCURI  - AUT;san vicente de chucuri;santander;sogamoso
23087230;PUERTO BELLO  - AUT;puerto nare;antioquia;medio magdalena
23197700;MAJADAS - AUT;bucaramanga;santander;medio magdalena
21115501;TELLO  - AUT;tello;huila;alto magdalena
35085060;ZETAQUIRA - AUT;zetaquira;boyaca;meta
35027001;CAQUEZA PLAZA DE FERIAS - TXGPRS;caqueza;cundinamarca;meta
2403700149;PUENTE LA RAMADA - AUT;chiscas;boyaca;sogamoso
35075070;CHINAVITA - AUT;chinavita;boyaca;meta
11030010;PR CHOCO: CERTEGUI;certegui;choco;atrato - darien
35195060;PERENCO: TOQUILLA;aquitania;boyaca;meta
52055502;SANDONA  - AUT;sandona;narino;patia
2613500126;POTREROS - AUT;santa rosa de cabal;risaralda;cauca
23195200;CACHIRI  - AUT;surata;santander;medio magdalena
23025502;ALMACAFE LETRAS  - AUT;manizales;caldas;medio magdalena
23055502;VILLARAZ  - AUT;pensilvania;caldas;medio magdalena
23195502;APTO PALONEGRO;lebrija;santander;medio magdalena
35035110;SALINAS DE UPIN  - AUT;restrepo;meta;meta
21057060;PAICOL - AUT;tesalia;huila;alto magdalena
21195170;PAQUILO - AUT;cabrera;cundinamarca;alto magdalena
37037010;PASO DE LA CANOA - AUT;cubara;boyaca;arauca
21257100;LA NUEVA - AUT;venadillo;tolima;alto magdalena
24037190;SAN RAFAEL  - AUT;tibasosa;boyaca;sogamoso
2612500130;SALENTO - AUT;salento;quindio;cauca
24030680;EL PARAMO - AUT;carcasi;santander;sogamoso
