;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0;Codigo Estacion;Nombre de estacion;Municipio;Departamento;Zona Hidrográfica;Latitud;Longitud;Fecha Inicial;Fecha Final;Muestreo valores iniciales;Muestreo valores finales;Numerofilas y columnas;Máximo;Mínimo;Promedio;Desviación Estándar;Mediana
1;26135502;EL JAZMIN  - AUT;santa rosa de cabal;risaralda;cauca;4.911944444;-75.62416389;2016-06-15 15:35:00;2021-12-13 23:55:00;5.0;5.0;(411084, 3);32.9;12.16706;19.762936780073872;3.3404246862188605;18.79157
2;16025503;GRAMALOTE  - AUT;gramalote;norte de santander;catatumbo;7.923163889;-72.83375556;2016-06-02 14:35:00;2021-12-13 23:55:00;5.0;5.0;(324194, 3);49.98063;2.638772;17.262381386839454;3.875703231494268;16.5
3;26195501;ANDES  - AUT;andes;antioquia;cauca;5.660108333;-75.91413889;2016-06-15 14:35:00;2020-03-04 15:05:00;5.0;5.0;(288314, 3);33.83012;12.30064;20.37037687781336;4.494947009074495;18.45265
4;24015502;SUAITA  - AUT;suaita;santander;sogamoso;6.088602778;-73.44859722;2016-06-16 08:35:00;2018-10-26 16:25:00;5.0;5.0;(31214, 3);31.6;0.0;20.934193267937502;4.497902079617595;20.28488
5;21202240;UAN SEDE CIRCUNVALAR - FOPAE;bogota;bogota;alto magdalena;4.633;-74.05;2010-06-02 14:15:00;2016-08-01 13:35:00;5.0;5.0;(415226, 3);30.18;7.92;15.376177912750585;2.8825266082646883;14.71
6;21165501;DOLORES  - AUT;dolores;tolima;alto magdalena;3.537155556;-74.82982778;2016-06-15 15:30:00;2021-12-13 16:55:00;5.0;5.0;(434549, 3);32.48469;6.405749;18.453411780901842;2.2179420026730923;17.93345
7;21115501;TELLO  - AUT;tello;huila;alto magdalena;2.960666667;-75.02849722;2016-06-16 04:20:00;2021-12-13 23:55:00;5.0;5.0;(414977, 3);34.1;0.3;21.255664802041483;3.1393918015271605;20.4077
8;21201200;ESC LA UNION - FOPAE;bogota;bogota;alto magdalena;4.343;-74.184;2010-06-04 13:10:00;2016-08-01 13:30:00;120.0;10.0;(378886, 3);25.7;0.0;9.718739884817438;2.6553035474754023;9.16
9;26125506;EL AGRADO  - AUT;montenegro;quindio;cauca;4.518333333;-75.7925;2016-06-02 14:35:00;2021-12-13 16:45:00;5.0;5.0;(440342, 3);34.70756;0.005026563;21.763160430585124;4.029796690831304;20.373965
10;21202220;PARAISO - FOPAE;bogota;bogota;alto magdalena;4.617;-74.05;2010-10-19 17:20:00;2016-08-01 13:25:00;5.0;10.0;(398337, 3);50.0;0.0;16.95977451253195;4.1212882049592645;15.9
11;21202180;QUIBA - FOPAE;bogota;bogota;alto magdalena;4.543;-74.156;2010-10-19 17:15:00;2016-08-01 13:30:00;5.0;10.0;(443114, 3);22.8;10.1;14.260356702787297;1.414038827853106;14.0
12;26145508;SAN JOSE  - AUT;san jose;caldas;cauca;5.094972222;-75.79174722;2016-06-16 08:35:00;2019-01-14 11:25:00;5.0;5.0;(188775, 3);30.7352;12.9;19.292525322950517;3.152928266998994;18.59166
13;23180070;SABANA DE TORRES;sabana de torres;santander;medio magdalena;7.39;-73.48944444;2017-11-09 12:00:00;2021-12-13 23:00:00;120.0;60.0;(15384, 3);37.1;20.4;27.24771840873628;3.3149776707585468;26.4
14;2120000107;LA FISCALA - AUT;bogota;bogota;alto magdalena;4.536;-74.106;2018-09-11 15:16:00;2020-02-28 10:50:00;1.0;1.0;(689488, 3);23.42;1.0;13.513960283572596;2.638765913167536;12.93
15;21205521;SANTA HELENA  - AUT;la calera;cundinamarca;alto magdalena;4.738;-73.936;2018-10-29 15:00:00;2021-12-13 23:50:00;10.0;10.0;(143927, 3);23.019;2.708;11.185449290265366;2.8489466847636318;10.329
16;31095030;PTO INIRIDA;inirida;guainia;inirida;3.868;-67.932;2005-07-01 19:00:00;2021-12-13 23:00:00;60.0;60.0;(90511, 3);50.0;0.0;25.868840251461375;5.639846069429486;25.3
