i;CodigoEstacion;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud
0;48015010;APTO VASQUEZ COBO TX GPRS/GOES;amazonas;leticia;<nil>;-4.194;-69.941
0;48015050;AEROPUERTO VASQUEZ COBO;amazonas;leticia;amazonas - directos;-4.193861111;-69.94091667
2;23085270;APTO J.M CORDOVA TX GPRS;antioquia;rionegro;medio magdalena;6.169;-75.426
2;23085260;LA SELVA - AUT;antioquia;rionegro;medio magdalena;6.131916667;-75.41455556
3;21205791;APTO EL DORADO - TX GPRS;bogota;bogota;alto magdalena;4.706;-74.151
3;21206990;TIBAITATA - AUT;cundinamarca;mosquera;alto magdalena;4.691416667;-74.209
3;21205515;MERENGO  - AUT;cundinamarca;soacha;alto magdalena;4.7;-74.174
3;21205710;JARDIN BOTANICO  - AUT;bogota;bogota;alto magdalena;4.669333333;-74.10266667
6;23195230;NEOMUNDO - AUT;santander;bucaramanga;medio magdalena;7.102611111;-73.10730556
6;23195502;APTO PALONEGRO;santander;lebrija;medio magdalena;7.121;-73.185
7;16015110;UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT;norte de santander;cucuta;catatumbo;7.898777778;-72.48716667
7;16015501;APTO CAMILO DAZA;norte de santander;cucuta;catatumbo;7.932;-72.511
11;28035060;FEDEARROZ - AUT;cesar;valledupar;cesar;10.46361111;-73.24805556
11;28025502;APTO ALFONSO LOPEZ;cesar;valledupar;cesar;10.436;-73.248
