CodigoEstacion;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud
26075150;APTO ALFONSO BONILLA ARAGON - TX GPRS;valle del cauca;palmira;cauca;3.533;-76.382
23085270;APTO J.M CORDOVA TX GPRS;antioquia;rionegro;medio magdalena;6.169;-75.426
21205791;APTO EL DORADO - TX GPRS;bogota;bogota;alto magdalena;4.706;-74.151
29045190;APTO ERNESTO CORTIZOS TX GPRS;atlantico;soledad;bajo magdalena;10.918;-74.78
26125710;APTO MATECAÑA TX GPS/GOES;risaralda;pereira;cauca;4.813;-75.74
23195502;APTO PALONEGRO;santander;lebrija;medio magdalena;7.121;-73.185
16015501;APTO CAMILO DAZA;norte de santander;cucuta;catatumbo;7.932;-72.511
26125061;APTO EL EDEN;quindio;armenia;cauca;4.455;-75.766
13035501;APTO LOS GARZONES;cordoba;monteria;sinu;8.826;-75.825
28025502;APTO ALFONSO LOPEZ;cesar;valledupar;cesar;10.436;-73.248
52055230;AEROPUERTO SAN LUIS - AUT;narino;aldana;patia;0.857;-77.678
