CodigoEstacion;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud
48015050;AEROPUERTO VASQUEZ COBO;amazonas;leticia;amazonas - directos;-4.193861111;-69.94091667
26075150;APTO ALFONSO BONILLA ARAGON - TX GPRS;valle del cauca;palmira;cauca;3.533;-76.382
23087150;PUENTE REAL  - AUT;antioquia;rionegro;medio magdalena;6.143472222;-75.37994444
21205710;JARDIN BOTANICO  - AUT;bogota;bogota;alto magdalena;4.669333333;-74.10266667
29047000;TEBSA TX GPRS;atlantico;soledad;bajo magdalena;10.937;-74.76
26125508;LACATALINA  - AUT;risaralda;pereira;cauca;4.7475;-75.73805556
23197700;MAJADAS - AUT;santander;bucaramanga;medio magdalena;7.160277778;-73.09305556
16015110;UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT;norte de santander;cucuta;catatumbo;7.898777778;-72.48716667
26125505;LA BELLA  - AUT;quindio;calarca;cauca;4.501111111;-75.67138889
13035501;APTO LOS GARZONES;cordoba;monteria;sinu;8.826;-75.825
21097070;PTE SANTANDER - TX GPRS;huila;neiva;alto magdalena;2.943;-75.309
28035060;FEDEARROZ - AUT;cesar;valledupar;cesar;10.46361111;-73.24805556
35035100;ICA VILLAVICENCIO  - AUT;meta;villavicencio;meta;4.137388889;-73.625
21215170;LA MARTINICA;tolima;ibague;alto magdalena;4.402;-75.229
23157030;BARRANCABERMEJA  - AUT;santander;barrancabermeja;medio magdalena;7.060194444;-73.876
52055230;AEROPUERTO SAN LUIS - AUT;narino;aldana;patia;0.857;-77.678
