;0;1;2;3;4;5;6;7;8;9;10
0;CodigoEstacion;FechaInicial;FechaFinal;dxI;dxF;tamaño;Maximo;Minimo;Promedio;;
1;29045190;2018-01-01 00:00:00;2018-12-02 09:00:00;60.0;60.0;(7762, 5);35.5;21.6;27.80909559391912;2.4325489172616908;27.2
2;26075150;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(4525, 5);35.0;15.5;23.69562430939225;3.6738500545745594;22.9
3;23085270;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(8640, 5);24.7;8.2;16.789120370370398;2.995718343389161;16.0
4;48015050;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(8554, 5);34.3;17.0;24.697919102174442;2.8675790249930526;24.0
5;16015501;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(8165, 5);36.5;7.2;26.917158603796576;3.0433577614418676;26.8
6;23195502;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(7880, 5);30.0;16.7;21.881319796954266;2.5237916210457607;21.2
7;26125710;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(8451, 5);31.5;15.3;21.56069104248013;2.930768668671919;20.9
8;13035501;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(6326, 5);38.4;21.7;27.89984192222579;3.324065571809801;26.9
9;28025502;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(8655, 5);39.8;20.7;28.53753899480066;3.727866141800572;27.8
10;21205791;2018-01-01 00:00:00;2018-12-31 23:00:00;60.0;60.0;(8285, 5);24.5;4.7;14.473458056729035;3.391054891951206;13.9
11;26125061;2018-04-06 13:00:00;2018-12-31 23:00:00;60.0;60.0;(2483, 5);33.4;15.1;22.206524365686644;3.9366189950352646;20.9
12;52055230;2018-07-19 14:00:00;2018-12-31 23:00:00;60.0;60.0;(3517, 5);25.0;1.5;11.411941996019321;4.040148893429863;10.7
