CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
26135502;EL JAZMIN  - AUT;SANTA ROSA DE CABAL;RISARALDA;CAUCA
16025503;GRAMALOTE  - AUT;GRAMALOTE;NORTE DE SANTANDER;CATATUMBO
26195501;ANDES  - AUT;ANDES;ANTIOQUIA;CAUCA
24015502;SUAITA  - AUT;SUAITA;SANTANDER;SOGAMOSO
21202240;UAN SEDE CIRCUNVALAR - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
21165501;DOLORES  - AUT;DOLORES;TOLIMA;ALTO MAGDALENA
21115501;TELLO  - AUT;TELLO;HUILA;ALTO MAGDALENA
21201200;ESC LA UNION - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
26125506;EL AGRADO  - AUT;MONTENEGRO;QUINDÍO;CAUCA
21202220;PARAISO - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
21202180;QUIBA - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
26145508;SAN JOSE  - AUT;SAN JOSE;CALDAS;CAUCA
23180070;SABANA DE TORRES;SABANA DE TORRES;SANTANDER;MEDIO MAGDALENA
2120000107;LA FISCALA - AUT;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
21205521;SANTA HELENA  - AUT;LA CALERA;CUNDINAMARCA;ALTO MAGDALENA
31095030;PTO INIRIDA;INÍRIDA;GUAINÍA;INÍRIDA
52055501;OSPINA PEREZ  - AUT;CONSACÁ;NARIÑO;PATÍA
2120700038;SAN FRANCISCO - AUT;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
26155503;PLANALTO  - AUT;MANIZALES;CALDAS;CAUCA
35085060;ZETAQUIRA - AUT;ZETAQUIRÁ;BOYACÁ;META
57015010;MALPELO - DIMAR;BUENAVENTURA;VALLE DEL CAUCA;BAUDÓ - DIRECTOS PACIFICO
21202250;DOÑA JUANA - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
23195190;SAN ANTONIO;FLORIDABLANCA;SANTANDER;MEDIO MAGDALENA
29065501;CIENAGA,LA  - AUT;CIÉNAGA;MAGDALENA;BAJO MAGDALENA
25015020;CERROMATOSO;MONTELÍBANO;CÓRDOBA;BAJO MAGDALENA- CAUCA -SAN JORGE
21205502;MISIONES  - AUT;EL COLEGIO;CUNDINAMARCA;ALTO MAGDALENA
21165502;VILLARICA  - AUT;VILLARRICA;TOLIMA;ALTO MAGDALENA
28045501;PUEBLO BELLO  - AUT;PUEBLO BELLO;CESAR;CESAR
21015501;PITALITO  - AUT;PITALITO;HUILA;ALTO MAGDALENA
26145504;OSPIRMA  - AUT;GUÁTICA;RISARALDA;CAUCA
52035040;VIENTO LIBRE - AUT;TAMINANGO;NARIÑO;PATÍA
26155260;SENDERO LAGUNA VERDE  - AUT;VILLAMARIA;CALDAS;CAUCA
44015060;ACUEDUCTO MOCOA - AUT;MOCOA;PUTUMAYO;CAQUETÁ
21045501;OPORAPA  - AUT;OPORAPA;HUILA;ALTO MAGDALENA
26125502;CAICEDONIA  - AUT;CAICEDONIA;VALLE DEL CAUCA;CAUCA
26155505;GRANJA LUKER  - AUT;PALESTINA;CALDAS;CAUCA
21206810;SAN BENITO - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
23055501;SANTA HELENA  - AUT;MARQUETALIA;CALDAS;MEDIO MAGDALENA
26115501;MANUEL MARIA MALLARINO  - AUT;TRUJILLO;VALLE DEL CAUCA;CAUCA
21205527;ALTO DEL AIRE  - AUT;CUCUNUBÁ;CUNDINAMARCA;ALTO MAGDALENA
21215190;CAJAMARCA - AUT;CAJAMARCA;TOLIMA;ALTO MAGDALENA
16015502;BLONAY  - AUT;CHINÁCOTA;NORTE DE SANTANDER;CATATUMBO
24055080;VIZCAINA LA LIZAMA  - AUT;BARRANCABERMEJA;SANTANDER;SOGAMOSO
26175502;LA CRISTALINA  - AUT;TÁMESIS;ANTIOQUIA;CAUCA
36015501;TAMARA  - AUT;TÁMARA;CASANARE;CASANARE
26135503;NARANJAL  - AUT;CHINCHINA;CALDAS;CAUCA
53115501;DAGUA  - AUT;DAGUA;VALLE DEL CAUCA;TAPAJE - DAGUA - DIRECTOS
23065503;EL MIRADOR  - AUT;SASAIMA;CUNDINAMARCA;MEDIO MAGDALENA
24055070;SAN  VICENTE DE CHUCURI  - AUT;SAN VICENTE DE CHUCURÍ;SANTANDER;MEDIO MAGDALENA
23105060;VEGACHA;VEGACHÍ;ANTIOQUIA;MEDIO MAGDALENA
21202200;VITELMA;BOGOTA, D.C;BOGOTA D.C.;META
26205501;EL ROSARIO  - AUT;VENECIA;ANTIOQUIA;CAUCA
26125290;ARMENIA - AUT;ARMENIA;QUINDÍO;CAUCA
21195190;PASCA - AUT;PASCA;CUNDINAMARCA;ALTO MAGDALENA
21205501;MESITAS DE SANTA INES  - AUT;CACHIPAY;CUNDINAMARCA;ALTO MAGDALENA
23035030;BASE PALANQUERO  - AUT;PUERTO SALGAR;CUNDINAMARCA;MEDIO MAGDALENA
11025501;CARMEN DE ATRATO  - AUT;EL CARMEN;CHOCO;ATRATO - DARIÉN
21208480;KENNEDY - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
28035060;FEDEARROZ - AUT;VALLEDUPAR;CESAR;CESAR
21201980;CERRO GUADALUPE - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
21105501;ALGECIRAS  - AUT;ALGECIRAS;HUILA;ALTO MAGDALENA
2120000105;EL CODITO - AUT;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
21206790;HACIENDA SANTA ANA - AUT;NEMOCÓN;CUNDINAMARCA;ALTO MAGDALENA
35025110;LA LIBERTAD - AUT;VILLAVICENCIO;META;META
21206780;LA INDEPENDENCIA FOPAE Fuera de Servicio;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
21015050;PURACE  - AUT;SAN AGUSTÍN;HUILA;ALTO MAGDALENA
